__metadata,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,BANK_CASH_ACCOUNT,ACCOUNTS_RECEIVABLE,BANK_LOAN,ACCOUNTS_PAYABLE,PROFIT,SETUP_TIME_INVESTMENT,DEBT_LOADING,CREDIT_RATING,COMPANY_RISK_RATE_PCT,MARKET_RISK_RATE_PCT,COMPANY_VALUATION,CURRENCY
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~11')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~11')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~11,11,JJ,01,11,01/11,3,11,2754232.60,0.00,-8000000.00,-681960.00,-348267.40,0.00,-5927727.40,A,5.00,7.00,-63321345.45,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~12')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~12')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~12,12,JJ,01,12,01/12,3,12,2754232.60,0.00,-8000000.00,-681960.00,-348267.40,0.00,-5927727.40,A,5.00,7.00,-58044566.67,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~13')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~13')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~13,13,JJ,01,13,01/13,3,13,2754232.60,0.00,-8000000.00,-681960.00,-348267.40,0.00,-5927727.40,A,5.00,7.00,-53579600.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~14')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~14')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~14,14,JJ,01,14,01/14,3,14,2754232.60,0.00,-8000000.00,-681960.00,-348267.40,0.00,-5927727.40,A,5.00,7.00,-49752485.71,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~15')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~15')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~15,15,JJ,01,15,01/15,3,15,2625495.45,0.00,-8000000.00,-681960.00,-528254.55,0.00,-6056464.55,A-,5.25,7.00,-68996512.65,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~16')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~16')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~16,16,JJ,01,16,01/16,4,16,2625495.45,0.00,-8000000.00,-681960.00,-528254.55,0.00,-6056464.55,A-,5.25,7.00,-64684230.61,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~17')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~17')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~17,17,JJ,01,17,01/17,4,17,2625495.45,0.00,-8000000.00,-681960.00,-528254.55,0.00,-6056464.55,A-,5.25,7.00,-60879275.87,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~18')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~18')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~18,18,JJ,01,18,01/18,4,18,2625495.45,0.00,-8000000.00,-681960.00,-528254.55,0.00,-6056464.55,A-,5.25,7.00,-57497093.88,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~19')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~19')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~19,19,JJ,01,19,01/19,4,19,2625495.45,0.00,-8000000.00,-681960.00,-528254.55,0.00,-6056464.55,A-,5.25,7.00,-54470931.04,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~20')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~20')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~20,20,JJ,01,20,01/20,4,20,2496372.35,0.00,-8000000.00,-681960.00,-708627.65,0.00,-6185587.65,A-,5.25,7.00,-69416586.12,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~21')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~21')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~21,21,JJ,02,01,02/01,5,21,2496372.35,0.00,-8000000.00,-681960.00,-708801.65,0.00,-6185587.65,A-,5.25,7.00,-66127267.64,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~22')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~22')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~22,22,JJ,02,02,02/02,5,22,1976372.35,108000.00,-8000000.00,-681960.00,-1142517.65,520000.00,-6597587.65,A-,5.25,7.00,-59682462.34,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~23')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~23')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~23,23,JJ,02,03,02/03,5,23,1976372.35,163859.50,-8000000.00,-681960.00,-1097628.55,520000.00,-6541728.15,A-,5.25,7.00,-53448394.68,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~24')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~24')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~24,24,JJ,02,04,02/04,5,24,1976372.35,282961.50,-8000000.00,-681960.00,-1010250.35,520000.00,-6422626.15,A-,5.25,7.00,-44265334.69,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~25')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~25')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~25,25,JJ,02,05,02/05,5,25,1849036.43,363355.50,-8000000.00,-681960.00,-1127471.34,520000.00,-6469568.07,A-,5.25,7.00,-51850815.22,EUR
