__metadata,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,YIELD,UNIT
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~11')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~11')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~11,11,JJ,02,08,02/08,6,28,JJ-F05,500g Original Muesli,1.2E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~12')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~12')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~12,12,JJ,02,09,02/09,6,29,JJ-F05,500g Original Muesli,2.4E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~13')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~13')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~13,13,JJ,02,10,02/10,6,30,JJ-F05,500g Original Muesli,4E3,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~14')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~14')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~14,14,JJ,02,10,02/10,6,30,JJ-F06,500g Mixed Fruit Muesli,1.6E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~15')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~15')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~15,15,JJ,02,11,02/11,7,31,JJ-F06,500g Mixed Fruit Muesli,2.4E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~16')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~16')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~16,16,JJ,02,12,02/12,7,32,JJ-F11,1kg Nut Muesli,2E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~17')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~17')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~17,17,JJ,02,13,02/13,7,33,JJ-F11,1kg Nut Muesli,2E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~18')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~18')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~18,18,JJ,02,14,02/14,7,34,JJ-F13,1kg Strawberry Muesli,2.4E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~19')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~19')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~19,19,JJ,02,15,02/15,7,35,JJ-F12,1kg Blueberry Muesli,4E3,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~20')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~20')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~20,20,JJ,02,15,02/15,7,35,JJ-F13,1kg Strawberry Muesli,1.6E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~21')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~21')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~21,21,JJ,02,16,02/16,8,36,JJ-F12,1kg Blueberry Muesli,2.4E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~22')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~22')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~22,22,JJ,02,17,02/17,8,37,JJ-F14,1kg Raisin Muesli,8E3,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~23')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~23')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~23,23,JJ,02,17,02/17,8,37,JJ-F12,1kg Blueberry Muesli,1.2E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~24')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~24')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~24,24,JJ,02,18,02/18,8,38,JJ-F14,1kg Raisin Muesli,2.4E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~25')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~25')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~25,25,JJ,02,19,02/19,8,39,JJ-F14,1kg Raisin Muesli,8E3,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~26')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~26')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~26,26,JJ,02,19,02/19,8,39,JJ-F15,1kg Original Muesli,1.2E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~27')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~27')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~27,27,JJ,02,20,02/20,8,40,JJ-F15,1kg Original Muesli,2.4E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~28')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~28')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~28,28,JJ,03,01,03/01,9,41,JJ-F15,1kg Original Muesli,4E3,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~29')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~29')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~29,29,JJ,03,01,03/01,9,41,JJ-F16,1kg Mixed Fruit Muesli,1.6833E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~30')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~30')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~30,30,JJ,03,02,03/02,9,42,JJ-F16,1kg Mixed Fruit Muesli,2.3167E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~31')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~31')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~31,31,JJ,03,05,03/05,9,45,JJ-F12,1kg Blueberry Muesli,2.0833E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~32')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~32')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~32,32,JJ,03,06,03/06,10,46,JJ-F12,1kg Blueberry Muesli,2.3167E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~33')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~33')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~33,33,JJ,03,07,03/07,10,47,JJ-F13,1kg Strawberry Muesli,2.2666E4,ST
