__metadata,ROW_ID,COMPANY_CODE,GAME,SCENARIO,CATEGORY,ELEMENT,DETAIL,VALUE
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(11)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(11)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",11,CC,Manufacturing,Introduction,Product,CC-F06,500g Mixed Fruit Muesli,Finished products
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(12)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(12)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",12,CC,Manufacturing,Introduction,Product,CC-F11,1kg Nut Muesli,Finished products
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(13)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(13)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",13,CC,Manufacturing,Introduction,Product,CC-F12,1kg Blueberry Muesli,Finished products
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(14)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(14)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",14,CC,Manufacturing,Introduction,Product,CC-F13,1kg Strawberry Muesli,Finished products
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(15)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(15)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",15,CC,Manufacturing,Introduction,Product,CC-F14,1kg Raisin Muesli,Finished products
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(16)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(16)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",16,CC,Manufacturing,Introduction,Product,CC-F15,1kg Original Muesli,Finished products
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(17)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(17)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",17,CC,Manufacturing,Introduction,Product,CC-F16,1kg Mixed Fruit Muesli,Finished products
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(18)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(18)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",18,CC,Manufacturing,Introduction,Product,CC-P01,Large Box (1kg),Packing
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(19)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(19)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",19,CC,Manufacturing,Introduction,Product,CC-P02,Large Bag (1kg),Packing
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(20)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(20)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",20,CC,Manufacturing,Introduction,Product,CC-P03,Small Box (500g),Packing
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(21)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(21)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",21,CC,Manufacturing,Introduction,Product,CC-P04,Small Bag (500g),Packing
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(22)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(22)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",22,CC,Manufacturing,Introduction,Product,CC-R01,Nuts,Perishable
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(23)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(23)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",23,CC,Manufacturing,Introduction,Product,CC-R02,Blueberries,Perishable
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(24)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(24)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",24,CC,Manufacturing,Introduction,Product,CC-R03,Strawberries,Perishable
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(25)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(25)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",25,CC,Manufacturing,Introduction,Product,CC-R04,Raisins,Perishable
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(26)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(26)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",26,CC,Manufacturing,Introduction,Product,CC-R05,Wheat,Perishable
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(27)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(27)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",27,CC,Manufacturing,Introduction,Product,CC-R06,Oats,Perishable
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(28)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(28)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",28,CC,Manufacturing,Introduction,Rules,Lead_Time,V01,1-5 days
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(29)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(29)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",29,CC,Manufacturing,Introduction,Rules,Lead_Time,V02,1-5 days
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(30)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(30)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",30,CC,Manufacturing,Introduction,Rules,Approximate_Market_Size,DC12,€360 000 per team per week
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(31)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(31)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",31,CC,Manufacturing,Introduction,Rules,Overhead_Cost,Labor,10000
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(32)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(32)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",32,CC,Manufacturing,Introduction,Rules,Overhead_Cost,Manufacturing Overheads,7500
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(33)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(33)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",33,CC,Manufacturing,Introduction,Rules,Overhead_Cost,Payment Frequency,Every 5 days
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(34)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(34)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",34,CC,Manufacturing,Introduction,Rules,Overhead_Cost,SG&A,20000
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(35)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(35)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",35,CC,Manufacturing,Introduction,Rules,Payment_Time,DC12,10-20 days
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(36)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(36)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",36,CC,Manufacturing,Introduction,Rules,Payment_Time,V01,20 days
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(37)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(37)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",37,CC,Manufacturing,Introduction,Rules,Payment_Time,V02,20 days
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(38)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(38)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",38,CC,Manufacturing,Introduction,Rules,PO_Cost,V01,0.00
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(39)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(39)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",39,CC,Manufacturing,Introduction,Rules,PO_Cost,V02,0.00
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(40)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(40)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",40,CC,Manufacturing,Introduction,Rules,Production,Daily Production Capacity,16000.00000
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(41)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(41)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",41,CC,Manufacturing,Introduction,Rules,Production,Setup Time,8
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(42)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(42)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",42,CC,Manufacturing,Introduction,Rules,Storage_Extra_Capacity_Threshold,Finished products,50000
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(43)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(43)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",43,CC,Manufacturing,Introduction,Rules,Storage_Extra_Capacity_Threshold,Packing,50000
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(44)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(44)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",44,CC,Manufacturing,Introduction,Rules,Storage_Extra_Capacity_Threshold,Perishable,50000
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(45)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(45)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",45,CC,Manufacturing,Introduction,Rules,Storage_Extra_Capacity_Cost,Finished products,500
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(46)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(46)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",46,CC,Manufacturing,Introduction,Rules,Storage_Extra_Capacity_Cost,Packing,100
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(47)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(47)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",47,CC,Manufacturing,Introduction,Rules,Storage_Extra_Capacity_Cost,Perishable,1000
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(48)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(48)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",48,CC,Manufacturing,Introduction,Rules,Storage_Capacity,Finished products,250000
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(49)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(49)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",49,CC,Manufacturing,Introduction,Rules,Storage_Capacity,Packing,750000
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(50)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(50)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",50,CC,Manufacturing,Introduction,Rules,Storage_Capacity,Perishable,250000
