__metadata,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,GL_ACCOUNT_NUMBER,GL_ACCOUNT_NAME,FS_LEVEL_1,FS_LEVEL_2,FS_LEVEL_3,FS_LEVEL_4,DEBIT_CREDIT_INDICATOR,AMOUNT,CURRENCY
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~229')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~229')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~229,229,JJ,02,15,02/15,7,35,476900,Interest expenses,Income Statement,"Sales, General, and Administrative Expenses",Interest Expenses,,Debit,13068.72,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~168')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~168')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~168,168,JJ,02,10,02/10,6,30,476900,Interest expenses,Income Statement,"Sales, General, and Administrative Expenses",Interest Expenses,,Debit,13223.10,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~361')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~361')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~361,361,JJ,03,05,03/05,9,45,476900,Interest expenses,Income Statement,"Sales, General, and Administrative Expenses",Interest Expenses,,Debit,12927.34,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~104')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~104')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~104,104,JJ,02,05,02/05,5,25,476900,Interest expenses,Income Statement,"Sales, General, and Administrative Expenses",Interest Expenses,,Debit,13223.10,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~424')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~424')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~424,424,JJ,03,10,03/10,10,50,476900,Interest expenses,Income Statement,"Sales, General, and Administrative Expenses",Interest Expenses,,Debit,11810.15,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~29')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~29')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~29,29,JJ,01,10,01/10,2,10,476900,Interest expenses,Income Statement,"Sales, General, and Administrative Expenses",Interest Expenses,,Debit,12759.77,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~4,4,JJ,01,01,01/01,1,1,70000,Common stock,Balance Sheet,Liabilities and Owners' Equity,Equity,Shareholders Equity,Credit,-21000000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~94')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~94')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~94,94,JJ,02,04,02/04,5,24,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,31636.80,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~471')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~471')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~471,471,JJ,03,14,03/14,11,54,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,11054.08,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~136')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~136')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~136,136,JJ,02,07,02/07,6,27,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,17642.83,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~242')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~242')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~242,242,JJ,02,15,02/15,7,35,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,64222.86,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~86')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~86')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~86,86,JJ,02,03,02/03,5,23,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,10868.40,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~415')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~415')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~415,415,JJ,03,09,03/09,10,49,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,52634.48,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~197')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~197')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~197,197,JJ,02,12,02/12,7,32,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,24004.79,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~527')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~527')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~527,527,JJ,03,18,03/18,12,58,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,81118.45,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~382')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~382')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~382,382,JJ,03,06,03/06,10,46,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,46019.71,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~78')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~78')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~78,78,JJ,02,02,02/02,5,22,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,21600.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~434')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~434')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~434,434,JJ,03,10,03/10,10,50,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,7379.36,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~262')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~262')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~262,262,JJ,02,17,02/17,8,37,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,64573.62,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~317')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~317')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~317,317,JJ,03,01,03/01,9,41,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,4660.67,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~149')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~149')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~149,149,JJ,02,08,02/08,6,28,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,32426.41,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~394')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~394')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~394,394,JJ,03,07,03/07,10,47,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,58998.13,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~207')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~207')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~207,207,JJ,02,13,02/13,7,33,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,20841.92,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~459')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~459')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~459,459,JJ,03,13,03/13,11,53,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,4364.24,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~539')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~539')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~539,539,JJ,03,19,03/19,12,59,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,47307.57,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~128')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~128')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~128,128,JJ,02,06,02/06,6,26,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,14075.55,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~449')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~449')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~449,449,JJ,03,12,03/12,11,52,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,7183.52,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~505')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~505')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~505,505,JJ,03,16,03/16,12,56,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,53327.95,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~272')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~272')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~272,272,JJ,02,18,02/18,8,38,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,54924.07,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~217')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~217')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~217,217,JJ,02,14,02/14,7,34,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,10352.22,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~252')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~252')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~252,252,JJ,02,16,02/16,8,36,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,61888.28,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~406')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~406')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~406,406,JJ,03,08,03/08,10,48,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,51678.48,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~282')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~282')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~282,282,JJ,02,19,02/19,8,39,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,6988.07,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~187')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~187')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~187,187,JJ,02,11,02/11,7,31,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,28262.70,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~118')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~118')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~118,118,JJ,02,05,02/05,5,25,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,18915.07,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~493')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~493')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~493,493,JJ,03,15,03/15,11,55,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,2083.52,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~338')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~338')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~338,338,JJ,03,03,03/03,9,43,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,54963.02,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~327')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~327')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~327,327,JJ,03,02,03/02,9,42,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,33496.64,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~157')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~157')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~157,157,JJ,02,09,02/09,6,29,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,15383.93,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~515')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~515')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~515,515,JJ,03,17,03/17,12,57,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,32381.55,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~305')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~305')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~305,305,JJ,02,20,02/20,8,40,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,9697.50,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~350')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~350')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~350,350,JJ,03,04,03/04,9,44,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,33342.09,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~3,3,JJ,01,01,01/01,1,1,11000,Machinery and equipment,Balance Sheet,Assets,Long-Term Assets,,Debit,24000000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~307')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~307')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~307,307,JJ,03,01,03/01,9,41,11000,Machinery and equipment,Balance Sheet,Assets,Long-Term Assets,,Debit,1000000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~395')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~395')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~395,395,JJ,03,07,03/07,10,47,895000,Total Finished Products Produced,Income Statement,Inventory Change,,,Credit,-51678.48,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~516')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~516')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~516,516,JJ,03,17,03/17,12,57,895000,Total Finished Products Produced,Income Statement,Inventory Change,,,Credit,-56750.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~494')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~494')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~494,494,JJ,03,15,03/15,11,55,895000,Total Finished Products Produced,Income Statement,Inventory Change,,,Credit,-47290.91,EUR
