__metadata,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,GL_ACCOUNT_NUMBER,GL_ACCOUNT_NAME,FS_LEVEL_1,FS_LEVEL_2,FS_LEVEL_3,FS_LEVEL_4,DEBIT_CREDIT_INDICATOR,AMOUNT,CURRENCY
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~67')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~67')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~67,67,CC,01,11,01/11,3,11,800000,Sales revenues - domestic,Income Statement,Revenues,,,Credit,-43236.75,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~71')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~71')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~71,71,CC,01,12,01/12,3,12,800000,Sales revenues - domestic,Income Statement,Revenues,,,Credit,-43822.93,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~75')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~75')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~75,75,CC,01,13,01/13,3,13,800000,Sales revenues - domestic,Income Statement,Revenues,,,Credit,-37319.39,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~45')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~45')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~45,45,CC,01,08,01/08,2,8,800000,Sales revenues - domestic,Income Statement,Revenues,,,Credit,-125998.67,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~79')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~79')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~79,79,CC,01,14,01/14,3,14,800000,Sales revenues - domestic,Income Statement,Revenues,,,Credit,-33028.20,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~41')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~41')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~41,41,CC,01,07,01/07,2,7,800000,Sales revenues - domestic,Income Statement,Revenues,,,Credit,-161809.62,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~15')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~15')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~15,15,CC,01,02,01/02,1,2,800000,Sales revenues - domestic,Income Statement,Revenues,,,Credit,-82189.94,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~19')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~19')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~19,19,CC,01,03,01/03,1,3,800000,Sales revenues - domestic,Income Statement,Revenues,,,Credit,-41809.97,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~37')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~37')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~37,37,CC,01,06,01/06,2,6,800000,Sales revenues - domestic,Income Statement,Revenues,,,Credit,-298423.41,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~33')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~33')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~33,33,CC,01,05,01/05,1,5,800000,Sales revenues - domestic,Income Statement,Revenues,,,Credit,-42447.72,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~39')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~39')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~39,39,CC,01,07,01/07,2,7,140000,Customers - Domestic Receivables,Balance Sheet,Assets,Current Assets,,Debit,161809.62,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~35')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~35')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~35,35,CC,01,06,01/06,2,6,140000,Customers - Domestic Receivables,Balance Sheet,Assets,Current Assets,,Debit,298423.41,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~50')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~50')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~50,50,CC,01,10,01/10,2,10,140000,Customers - Domestic Receivables,Balance Sheet,Assets,Current Assets,,Debit,37883.41,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~43')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~43')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~43,43,CC,01,08,01/08,2,8,140000,Customers - Domestic Receivables,Balance Sheet,Assets,Current Assets,,Debit,125998.67,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~65')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~65')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~65,65,CC,01,11,01/11,3,11,140000,Customers - Domestic Receivables,Balance Sheet,Assets,Current Assets,,Debit,43236.75,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~69')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~69')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~69,69,CC,01,12,01/12,3,12,140000,Customers - Domestic Receivables,Balance Sheet,Assets,Current Assets,,Debit,43822.93,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~24')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~24')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~24,24,CC,01,05,01/05,1,5,140000,Customers - Domestic Receivables,Balance Sheet,Assets,Current Assets,,Debit,42447.72,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~73')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~73')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~73,73,CC,01,13,01/13,3,13,140000,Customers - Domestic Receivables,Balance Sheet,Assets,Current Assets,,Debit,37319.39,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~77')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~77')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~77,77,CC,01,14,01/14,3,14,140000,Customers - Domestic Receivables,Balance Sheet,Assets,Current Assets,,Debit,33028.20,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~17')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~17')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~17,17,CC,01,03,01/03,1,3,140000,Customers - Domestic Receivables,Balance Sheet,Assets,Current Assets,,Debit,41809.97,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~13')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~13')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~13,13,CC,01,02,01/02,1,2,140000,Customers - Domestic Receivables,Balance Sheet,Assets,Current Assets,,Debit,82189.94,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~11')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~11')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~11,11,CC,01,01,01/01,1,1,300000,Raw materials,Balance Sheet,Assets,Current Assets,,Debit,375056.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~7,7,CC,01,01,01/01,1,1,160000,Accounts payable-domestic,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Credit,-726356.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~8,8,CC,01,01,01/01,1,1,160000,Accounts payable-domestic,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Debit,726356.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~48')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~48')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~48,48,CC,01,10,01/10,2,10,11010,Accumulated depreciation - machinery and equipment,Balance Sheet,Assets,Long-Term Assets,,Credit,-33333.33,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~22')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~22')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~22,22,CC,01,05,01/05,1,5,11010,Accumulated depreciation - machinery and equipment,Balance Sheet,Assets,Long-Term Assets,,Credit,-33333.33,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~66')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~66')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~66,66,CC,01,11,01/11,3,11,792000,Finished goods,Balance Sheet,Assets,Current Assets,,Credit,-14206.50,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~32')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~32')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~32,32,CC,01,05,01/05,1,5,792000,Finished goods,Balance Sheet,Assets,Current Assets,,Credit,-14810.82,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~62')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~62')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~62,62,CC,01,10,01/10,2,10,792000,Finished goods,Balance Sheet,Assets,Current Assets,,Credit,-16379.33,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~70')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~70')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~70,70,CC,01,12,01/12,3,12,792000,Finished goods,Balance Sheet,Assets,Current Assets,,Credit,-14363.61,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~36')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~36')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~36,36,CC,01,06,01/06,2,6,792000,Finished goods,Balance Sheet,Assets,Current Assets,,Credit,-105332.49,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~74')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~74')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~74,74,CC,01,13,01/13,3,13,792000,Finished goods,Balance Sheet,Assets,Current Assets,,Credit,-11195.13,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~18')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~18')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~18,18,CC,01,03,01/03,1,3,792000,Finished goods,Balance Sheet,Assets,Current Assets,,Credit,-13693.90,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~40')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~40')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~40,40,CC,01,07,01/07,2,7,792000,Finished goods,Balance Sheet,Assets,Current Assets,,Credit,-53500.05,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~78')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~78')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~78,78,CC,01,14,01/14,3,14,792000,Finished goods,Balance Sheet,Assets,Current Assets,,Credit,-9859.62,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~44')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~44')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~44,44,CC,01,08,01/08,2,8,792000,Finished goods,Balance Sheet,Assets,Current Assets,,Credit,-41259.24,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~14')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~14')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~14,14,CC,01,02,01/02,1,2,792000,Finished goods,Balance Sheet,Assets,Current Assets,,Credit,-26168.32,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~12')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~12')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~12,12,CC,01,01,01/01,1,1,792000,Finished goods,Balance Sheet,Assets,Current Assets,,Debit,351300.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~47')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~47')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~47,47,CC,01,10,01/10,2,10,2010,Accumulated Depreciation - Buildings,Balance Sheet,Assets,Long-Term Assets,,Credit,-1250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~21')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~21')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~21,21,CC,01,05,01/05,1,5,2010,Accumulated Depreciation - Buildings,Balance Sheet,Assets,Long-Term Assets,,Credit,-1250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~29')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~29')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~29,29,CC,01,05,01/05,1,5,500000,Direct labor costs,Income Statement,Operating Expenses,,,Debit,10000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~59')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~59')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~59,59,CC,01,10,01/10,2,10,500000,Direct labor costs,Income Statement,Operating Expenses,,,Debit,10000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~51')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~51')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~51,51,CC,01,10,01/10,2,10,211120,Depreciation-buildings,Income Statement,Operating Expenses,,,Debit,1250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~25')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~25')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~25,25,CC,01,05,01/05,1,5,211120,Depreciation-buildings,Income Statement,Operating Expenses,,,Debit,1250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~26')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~26')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~26,26,CC,01,05,01/05,1,5,211130,Depreciation - machinery and equipment,Income Statement,Operating Expenses,,,Debit,33333.33,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~52')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~52')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~52,52,CC,01,10,01/10,2,10,211130,Depreciation - machinery and equipment,Income Statement,Operating Expenses,,,Debit,33333.33,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~30')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~30')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~30,30,CC,01,05,01/05,1,5,510000,Factory Overhead Expenses,Income Statement,Operating Expenses,,,Debit,7500.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~60')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~60')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~60,60,CC,01,10,01/10,2,10,510000,Factory Overhead Expenses,Income Statement,Operating Expenses,,,Debit,7500.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~54')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~54')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~54,54,CC,01,10,01/10,2,10,477005,Advertising South-02,Income Statement,"Sales, General, and Administrative Expenses",Marketing Expenses,Product 02,Debit,1250.00,EUR
