__metadata,ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,SALES_ORDER_NUMBER,LINE_ITEM,STORAGE_LOCATION,AREA,DISTRIBUTION_CHANNEL,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,QUANTITY,QUANTITY_DELIVERED,UNIT,NET_PRICE,NET_VALUE,COST,CURRENCY
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~19')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~19')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~19,19,CC,01,06,01/06,2,6,41,2,02,North,12,CC-F01,500g Nut Muesli,2564,2564,ST,3.90,9999.60,2307.60,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~20')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~20')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~20,20,CC,01,06,01/06,2,6,37,2,02,North,12,CC-F02,500g Blueberry Muesli,2216,2216,ST,4.23,9373.68,2725.68,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~21')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~21')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~21,21,CC,01,06,01/06,2,6,36,1,02,South,12,CC-F02,500g Blueberry Muesli,2441,2441,ST,4.23,10325.43,3002.43,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~22')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~22')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~22,22,CC,01,06,01/06,2,6,39,3,02,South,12,CC-F02,500g Blueberry Muesli,2201,2201,ST,4.23,9310.23,2707.23,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~23')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~23')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~23,23,CC,01,06,01/06,2,6,42,3,02,West,12,CC-F04,500g Raisin Muesli,2614,2614,ST,3.79,9907.06,2065.06,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~24')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~24')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~24,24,CC,01,06,01/06,2,6,36,2,02,South,12,CC-F11,1kg Nut Muesli,2078,2078,ST,4.61,9579.58,3366.36,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~25')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~25')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~25,25,CC,01,06,01/06,2,6,39,1,02,South,12,CC-F11,1kg Nut Muesli,2593,2593,ST,4.61,11953.73,4200.66,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~26')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~26')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~26,26,CC,01,06,01/06,2,6,43,4,02,West,12,CC-F11,1kg Nut Muesli,2530,2530,ST,4.61,11663.30,4098.60,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~27')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~27')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~27,27,CC,01,06,01/06,2,6,43,2,02,West,12,CC-F11,1kg Nut Muesli,2569,2569,ST,4.61,11843.09,4161.78,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~28')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~28')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~28,28,CC,01,06,01/06,2,6,37,4,02,North,12,CC-F11,1kg Nut Muesli,2532,2532,ST,4.61,11672.52,4101.84,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~29')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~29')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~29,29,CC,01,06,01/06,2,6,41,1,02,North,12,CC-F11,1kg Nut Muesli,2562,2562,ST,4.61,11810.82,4150.44,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~30')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~30')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~30,30,CC,01,06,01/06,2,6,40,4,02,North,12,CC-F11,1kg Nut Muesli,2143,2143,ST,4.61,9879.23,3471.66,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~31')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~31')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~31,31,CC,01,06,01/06,2,6,42,2,02,West,12,CC-F12,1kg Blueberry Muesli,2218,2218,ST,5.26,11666.68,5034.86,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~32')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~32')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~32,32,CC,01,06,01/06,2,6,37,1,02,North,12,CC-F12,1kg Blueberry Muesli,2266,2266,ST,5.26,11919.16,5143.82,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~33')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~33')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~33,33,CC,01,06,01/06,2,6,39,4,02,South,12,CC-F12,1kg Blueberry Muesli,2163,2163,ST,5.26,11377.38,4910.01,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~34')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~34')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~34,34,CC,01,06,01/06,2,6,40,1,02,North,12,CC-F12,1kg Blueberry Muesli,2038,2038,ST,5.26,10719.88,4626.26,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~35')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~35')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~35,35,CC,01,06,01/06,2,6,39,2,02,South,12,CC-F12,1kg Blueberry Muesli,1782,1782,ST,5.26,9373.32,4045.14,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~36')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~36')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~36,36,CC,01,06,01/06,2,6,36,4,02,South,12,CC-F13,1kg Strawberry Muesli,1887,1887,ST,5.27,9944.49,4302.36,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~37')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~37')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~37,37,CC,01,06,01/06,2,6,36,3,02,South,12,CC-F13,1kg Strawberry Muesli,1973,1973,ST,5.27,10397.71,4498.44,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~38')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~38')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~38,38,CC,01,06,01/06,2,6,43,3,02,West,12,CC-F13,1kg Strawberry Muesli,1971,1971,ST,5.27,10387.17,4493.88,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~39')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~39')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~39,39,CC,01,06,01/06,2,6,42,4,02,West,12,CC-F13,1kg Strawberry Muesli,2131,2131,ST,5.27,11230.37,4858.68,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~40')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~40')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~40,40,CC,01,06,01/06,2,6,41,4,02,North,12,CC-F13,1kg Strawberry Muesli,2188,2188,ST,5.27,11530.76,4988.64,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~41')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~41')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~41,41,CC,01,06,01/06,2,6,40,3,02,North,12,CC-F14,1kg Raisin Muesli,2208,2208,ST,4.38,9671.04,3069.12,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~42')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~42')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~42,42,CC,01,06,01/06,2,6,43,1,02,West,12,CC-F14,1kg Raisin Muesli,2365,2365,ST,4.38,10358.70,3287.35,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~43')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~43')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~43,43,CC,01,06,01/06,2,6,41,3,02,North,12,CC-F14,1kg Raisin Muesli,2330,2330,ST,4.38,10205.40,3238.70,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~44')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~44')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~44,44,CC,01,06,01/06,2,6,42,1,02,West,12,CC-F14,1kg Raisin Muesli,2681,2681,ST,4.38,11742.78,3726.59,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~45')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~45')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~45,45,CC,01,07,01/07,2,7,47,3,02,West,12,CC-F01,500g Nut Muesli,2470,2470,ST,3.90,9633.00,2223.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~46')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~46')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~46,46,CC,01,07,01/07,2,7,51,4,02,North,12,CC-F01,500g Nut Muesli,2390,2390,ST,3.90,9321.00,2151.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~47')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~47')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~47,47,CC,01,07,01/07,2,7,52,1,02,West,12,CC-F02,500g Blueberry Muesli,2176,2176,ST,4.23,9204.48,2676.48,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~48')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~48')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~48,48,CC,01,07,01/07,2,7,51,3,02,North,12,CC-F02,500g Blueberry Muesli,2153,2153,ST,4.23,9107.19,2648.19,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~49')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~49')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~49,49,CC,01,07,01/07,2,7,46,4,02,South,12,CC-F04,500g Raisin Muesli,2851,2851,ST,3.79,10805.29,2252.29,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~50')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~50')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~50,50,CC,01,07,01/07,2,7,47,4,02,West,12,CC-F04,500g Raisin Muesli,2592,2592,ST,3.79,9823.68,2047.68,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~51')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~51')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~51,51,CC,01,07,01/07,2,7,46,2,02,South,12,CC-F11,1kg Nut Muesli,2030,2030,ST,4.61,9358.30,3288.60,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~52')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~52')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~52,52,CC,01,07,01/07,2,7,52,4,02,West,12,CC-F11,1kg Nut Muesli,1834,1834,ST,4.61,8454.74,2971.08,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~53')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~53')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~53,53,CC,01,07,01/07,2,7,52,2,02,West,12,CC-F11,1kg Nut Muesli,2341,2341,ST,4.61,10792.01,3792.42,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~54')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~54')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~54,54,CC,01,07,01/07,2,7,47,1,02,West,12,CC-F11,1kg Nut Muesli,2306,2306,ST,4.61,10630.66,3735.72,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~55')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~55')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~55,55,CC,01,07,01/07,2,7,51,1,02,North,12,CC-F11,1kg Nut Muesli,2438,2438,ST,4.61,11239.18,3949.56,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~56')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~56')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~56,56,CC,01,07,01/07,2,7,47,2,02,West,12,CC-F12,1kg Blueberry Muesli,2183,2183,ST,5.26,11482.58,4955.41,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~57')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~57')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~57,57,CC,01,07,01/07,2,7,46,1,02,South,12,CC-F12,1kg Blueberry Muesli,1903,1903,ST,5.26,10009.78,4319.81,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~58')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~58')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~58,58,CC,01,07,01/07,2,7,46,3,02,South,12,CC-F12,1kg Blueberry Muesli,2030,2030,ST,5.26,10677.80,4608.10,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~59')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~59')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~59,59,CC,01,07,01/07,2,7,52,3,02,West,12,CC-F13,1kg Strawberry Muesli,1861,1861,ST,5.27,9807.47,4243.08,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~60')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~60')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~60,60,CC,01,07,01/07,2,7,51,2,02,North,12,CC-F14,1kg Raisin Muesli,2617,2617,ST,4.38,11462.46,3637.63,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~61')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~61')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~61,61,CC,01,08,01/08,2,8,53,3,02,South,12,CC-F02,500g Blueberry Muesli,2385,2385,ST,4.23,10088.55,2933.55,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~62')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~62')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~62,62,CC,01,08,01/08,2,8,57,2,02,North,12,CC-F02,500g Blueberry Muesli,2205,2205,ST,4.23,9327.15,2712.15,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~63')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~63')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~63,63,CC,01,08,01/08,2,8,57,1,02,North,12,CC-F03,500g Strawberry Muesli,2561,2561,ST,4.23,10833.03,3150.03,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~64')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~64')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~64,64,CC,01,08,01/08,2,8,53,2,02,South,12,CC-F03,500g Strawberry Muesli,2699,2699,ST,4.23,11416.77,3319.77,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~65')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~65')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~65,65,CC,01,08,01/08,2,8,55,4,02,South,12,CC-F04,500g Raisin Muesli,2901,2901,ST,3.79,10994.79,2291.79,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~66')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~66')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~66,66,CC,01,08,01/08,2,8,55,1,02,South,12,CC-F04,500g Raisin Muesli,3080,3080,ST,3.79,11673.20,2433.20,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~67')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~67')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~67,67,CC,01,08,01/08,2,8,53,1,02,South,12,CC-F12,1kg Blueberry Muesli,2100,2100,ST,5.26,11046.00,4767.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~68')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~68')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~68,68,CC,01,08,01/08,2,8,55,2,02,South,12,CC-F12,1kg Blueberry Muesli,2268,2268,ST,5.26,11929.68,5148.36,EUR
