__metadata,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,PURCHASING_ORDER,VENDOR,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,UNIT_PRICE,CURRENCY,QUANTITY,STATUS,UNIT,GOODS_RECEIPT_ROUND,GOODS_RECEIPT_STEP,GOODS_RECEIPT_DATE
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~32')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~32')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~32,32,CC,01,01,01/01,1,1,4500000089,V01,CC-R05,Wheat,0.99,EUR,11200.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~33')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~33')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~33,33,CC,01,01,01/01,1,1,4500000089,V01,CC-R06,Oats,0.92,EUR,11200.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~34')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~34')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~34,34,CC,01,01,01/01,1,1,4500000094,V02,CC-P01,Large Box (1kg),0.28,EUR,32000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~35')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~35')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~35,35,CC,01,01,01/01,1,1,4500000094,V02,CC-P02,Large Bag (1kg),0.12,EUR,32000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~36')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~36')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~36,36,CC,01,01,01/01,1,1,4500000099,V01,CC-R02,Blueberries,4.00,EUR,9600.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~37')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~37')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~37,37,CC,01,01,01/01,1,1,4500000099,V01,CC-R05,Wheat,0.99,EUR,11200.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~38')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~38')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~38,38,CC,01,01,01/01,1,1,4500000099,V01,CC-R06,Oats,0.92,EUR,11200.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~39')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~39')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~39,39,CC,01,01,01/01,1,1,4500000103,V02,CC-P01,Large Box (1kg),0.28,EUR,32000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~40')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~40')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~40,40,CC,01,01,01/01,1,1,4500000103,V02,CC-P02,Large Bag (1kg),0.12,EUR,32000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~41')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~41')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~41,41,CC,01,01,01/01,1,1,4500000109,V01,CC-R03,Strawberries,4.02,EUR,9600.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~42')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~42')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~42,42,CC,01,01,01/01,1,1,4500000109,V01,CC-R05,Wheat,0.99,EUR,11200.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~43')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~43')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~43,43,CC,01,01,01/01,1,1,4500000109,V01,CC-R06,Oats,0.92,EUR,11200.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~44')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~44')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~44,44,CC,01,01,01/01,1,1,4500000113,V02,CC-P01,Large Box (1kg),0.28,EUR,32000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~45')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~45')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~45,45,CC,01,01,01/01,1,1,4500000113,V02,CC-P02,Large Bag (1kg),0.12,EUR,32000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~46')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~46')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~46,46,CC,01,01,01/01,1,1,4500000118,V01,CC-R04,Raisins,1.07,EUR,9600.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~47')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~47')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~47,47,CC,01,01,01/01,1,1,4500000118,V01,CC-R05,Wheat,0.99,EUR,11200.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~48')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~48')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~48,48,CC,01,01,01/01,1,1,4500000118,V01,CC-R06,Oats,0.92,EUR,11200.000,Delivered,KG,01,01,01/01
