__metadata,ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,AREA,AMOUNT,CURRENCY
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~23')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~23')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~23,23,CC,01,01,01/01,1,1,CC-F15,1kg Original Muesli,South,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~24')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~24')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~24,24,CC,01,01,01/01,1,1,CC-F16,1kg Mixed Fruit Muesli,South,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~25')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~25')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~25,25,CC,01,01,01/01,1,1,CC-F01,500g Nut Muesli,West,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~26')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~26')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~26,26,CC,01,01,01/01,1,1,CC-F02,500g Blueberry Muesli,West,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~27')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~27')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~27,27,CC,01,01,01/01,1,1,CC-F03,500g Strawberry Muesli,West,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~28')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~28')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~28,28,CC,01,01,01/01,1,1,CC-F04,500g Raisin Muesli,West,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~29')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~29')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~29,29,CC,01,01,01/01,1,1,CC-F05,500g Original Muesli,West,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~30')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~30')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~30,30,CC,01,01,01/01,1,1,CC-F06,500g Mixed Fruit Muesli,West,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~31')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~31')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~31,31,CC,01,01,01/01,1,1,CC-F11,1kg Nut Muesli,West,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~32')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~32')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~32,32,CC,01,01,01/01,1,1,CC-F12,1kg Blueberry Muesli,West,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~33')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~33')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~33,33,CC,01,01,01/01,1,1,CC-F13,1kg Strawberry Muesli,West,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~34')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~34')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~34,34,CC,01,01,01/01,1,1,CC-F14,1kg Raisin Muesli,West,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~35')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~35')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~35,35,CC,01,01,01/01,1,1,CC-F15,1kg Original Muesli,West,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~36')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~36')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~36,36,CC,01,01,01/01,1,1,CC-F16,1kg Mixed Fruit Muesli,West,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~37')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~37')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~37,37,CC,01,06,01/06,2,6,CC-F01,500g Nut Muesli,South,500.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~38')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~38')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~38,38,CC,01,06,01/06,2,6,CC-F11,1kg Nut Muesli,South,500.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~39')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~39')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~39,39,CC,01,07,01/07,2,7,CC-F01,500g Nut Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~40')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~40')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~40,40,CC,01,07,01/07,2,7,CC-F02,500g Blueberry Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~41')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~41')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~41,41,CC,01,07,01/07,2,7,CC-F11,1kg Nut Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~42')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~42')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~42,42,CC,01,07,01/07,2,7,CC-F12,1kg Blueberry Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~43')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~43')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~43,43,CC,01,08,01/08,2,8,CC-F01,500g Nut Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~44')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~44')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~44,44,CC,01,08,01/08,2,8,CC-F02,500g Blueberry Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~45')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~45')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~45,45,CC,01,08,01/08,2,8,CC-F11,1kg Nut Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~46')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~46')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~46,46,CC,01,08,01/08,2,8,CC-F12,1kg Blueberry Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~47')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~47')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~47,47,CC,01,09,01/09,2,9,CC-F01,500g Nut Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~48')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~48')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~48,48,CC,01,09,01/09,2,9,CC-F02,500g Blueberry Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~49')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~49')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~49,49,CC,01,09,01/09,2,9,CC-F11,1kg Nut Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~50')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~50')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~50,50,CC,01,09,01/09,2,9,CC-F12,1kg Blueberry Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~51')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~51')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~51,51,CC,01,10,01/10,2,10,CC-F02,500g Blueberry Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~52')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~52')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~52,52,CC,01,10,01/10,2,10,CC-F03,500g Strawberry Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~53')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~53')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~53,53,CC,01,10,01/10,2,10,CC-F12,1kg Blueberry Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~54')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~54')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~54,54,CC,01,10,01/10,2,10,CC-F13,1kg Strawberry Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~55')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~55')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~55,55,CC,01,11,01/11,3,11,CC-F02,500g Blueberry Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~56')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~56')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~56,56,CC,01,11,01/11,3,11,CC-F03,500g Strawberry Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~57')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~57')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~57,57,CC,01,11,01/11,3,11,CC-F12,1kg Blueberry Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~58')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~58')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~58,58,CC,01,11,01/11,3,11,CC-F13,1kg Strawberry Muesli,South,250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~59')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~59')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~59,59,CC,01,12,01/12,3,12,CC-F03,500g Strawberry Muesli,South,500.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~60')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~60')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~60,60,CC,01,12,01/12,3,12,CC-F13,1kg Strawberry Muesli,South,500.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~61')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~61')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~61,61,CC,01,13,01/13,3,13,CC-F01,500g Nut Muesli,South,333.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~62')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~62')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~62,62,CC,01,13,01/13,3,13,CC-F03,500g Strawberry Muesli,South,333.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~63')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~63')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~63,63,CC,01,13,01/13,3,13,CC-F04,500g Raisin Muesli,South,333.00,EUR
